CropItem,Year,Yield(hg/ha),Nutrients(tonnes),SyntheticFert(tonnes),Pesticides(tonnes),Temp_ann_degC,LandUsed,LandIrrigated
"Anise, badian, fennel, coriander",1990,5912.0,150225,132396,937,24.21,2267,618.0
"Anise, badian, fennel, coriander",1991,4797.0,159101,140809,901,24.28,2269,621.0
"Anise, badian, fennel, coriander",1992,4632.0,151930,147467,884,24.15,2266,623.0
"Anise, badian, fennel, coriander",1993,4117.0,154815,153630,829,24.43,2267,626.0
"Anise, badian, fennel, coriander",1994,3589.0,169545,166375,766,24.46,2266,644.0
"Anise, badian, fennel, coriander",1995,3667.0,173452,171899,765,25.29,2261,663.0
"Anise, badian, fennel, coriander",1996,4039.0,179225,180528,701,24.55,2257,681.0
"Anise, badian, fennel, coriander",1997,4253.0,202349,190783,653,24.1,2262,700.0
"Anise, badian, fennel, coriander",1998,4381.0,209968,198690,614,24.76,2260,718.0
"Anise, badian, fennel, coriander",1999,4709.0,225709,202759,577,24.67,2262,736.0
"Anise, badian, fennel, coriander",2000,4840.0,208778,191103,561,24.6,2262,755.0
"Anise, badian, fennel, coriander",2001,4303.0,216803,197928,546,24.73,2256,773.0
"Anise, badian, fennel, coriander",2002,2968.0,201199,183211,531,25.0,2257,782.0
"Anise, badian, fennel, coriander",2003,5345.0,210090,193862,515,24.72,2253,790.0
"Anise, badian, fennel, coriander",2004,5531.0,230083,204972,438,24.74,2254,799.0
"Anise, badian, fennel, coriander",2005,5844.0,254342,222668,441,24.58,2251,808.0
"Anise, badian, fennel, coriander",2006,5681.0,270526,240815,467,25.06,2248,815.0
"Anise, badian, fennel, coriander",2007,7013.0,282138,252309,342,24.77,2245,822.0
"Anise, badian, fennel, coriander",2008,6575.0,302855,260116,181,24.61,2246,829.0
"Anise, badian, fennel, coriander",2009,6844.0,330569,272271,358,25.11,2250,846.0
"Anise, badian, fennel, coriander",2010,7367.0,351378,287886,501,25.13,2244,846.0
"Anise, badian, fennel, coriander",2011,7747.0,354671,303931,694,24.67,2245,847.0
"Anise, badian, fennel, coriander",2012,7746.0,319201,294365,662,24.69,2245,869.0
"Anise, badian, fennel, coriander",2013,7840.0,306031,293126,570,24.82,2246,871.0
"Anise, badian, fennel, coriander",2014,7909.0,319767,296618,703,24.73,2246,873.0
"Anise, badian, fennel, coriander",2015,7993.0,334407,304015,709,24.91,2245,875.0
"Anise, badian, fennel, coriander",2016,7149.0,324363,292869,732,26.45,2244,877.0
"Anise, badian, fennel, coriander",2017,9890.0,332386,296765,792,26.29,2244,880.0
"Anise, badian, fennel, coriander",2018,9610.0,342190,308493,745,25.9,2244,880.0
"Anise, badian, fennel, coriander",2019,9124.0,362120,299376,771,25.86,2244,880.0
Apples,1990,58435.0,150225,132396,937,24.21,2267,618.0
Apples,1991,60680.0,159101,140809,901,24.28,2269,621.0
Apples,1992,58991.0,151930,147467,884,24.15,2266,623.0
Apples,1993,61083.0,154815,153630,829,24.43,2267,626.0
Apples,1994,65000.0,169545,166375,766,24.46,2266,644.0
Apples,1995,57143.0,173452,171899,765,25.29,2261,663.0
Apples,1996,55798.0,179225,180528,701,24.55,2257,681.0
Apples,1997,58751.0,202349,190783,653,24.1,2262,700.0
Apples,1998,58002.0,209968,198690,614,24.76,2260,718.0
Apples,1999,59740.0,225709,202759,577,24.67,2262,736.0
Apples,2000,45652.0,208778,191103,561,24.6,2262,755.0
Apples,2001,51250.0,216803,197928,546,24.73,2256,773.0
Apples,2002,48333.0,201199,183211,531,25.0,2257,782.0
Apples,2003,58800.0,210090,193862,515,24.72,2253,790.0
Apples,2004,75626.0,230083,204972,438,24.74,2254,799.0
Apples,2005,75379.0,254342,222668,441,24.58,2251,808.0
Apples,2006,80053.0,270526,240815,467,25.06,2248,815.0
Apples,2007,64444.0,282138,252309,342,24.77,2245,822.0
Apples,2008,75795.0,302855,260116,181,24.61,2246,829.0
Apples,2009,72445.0,330569,272271,358,25.11,2250,846.0
Apples,2010,62821.0,351378,287886,501,25.13,2244,846.0
Apples,2011,100000.0,354671,303931,694,24.67,2245,847.0
Apples,2012,68450.0,319201,294365,662,24.69,2245,869.0
Apples,2013,61378.0,306031,293126,570,24.82,2246,871.0
Apples,2014,79788.0,319767,296618,703,24.73,2246,873.0
Apples,2015,66897.0,334407,304015,709,24.91,2245,875.0
Apples,2016,91011.0,324363,292869,732,26.45,2244,877.0
Apples,2017,74262.0,332386,296765,792,26.29,2244,880.0
Apples,2018,77309.0,342190,308493,745,25.9,2244,880.0
Apples,2019,75195.0,362120,299376,771,25.86,2244,880.0
Apricots,1990,30000.0,150225,132396,937,24.21,2267,618.0
Apricots,1991,29524.0,159101,140809,901,24.28,2269,621.0
Apricots,1992,29545.0,151930,147467,884,24.15,2266,623.0
Apricots,1993,29565.0,154815,153630,829,24.43,2267,626.0
Apricots,1994,29167.0,169545,166375,766,24.46,2266,644.0
Apricots,1995,28980.0,173452,171899,765,25.29,2261,663.0
Apricots,1996,28970.0,179225,180528,701,24.55,2257,681.0
Apricots,1997,28877.0,202349,190783,653,24.1,2262,700.0
Apricots,1998,28777.0,209968,198690,614,24.76,2260,718.0
Apricots,1999,28667.0,225709,202759,577,24.67,2262,736.0
Apricots,2000,28563.0,208778,191103,561,24.6,2262,755.0
Apricots,2001,28458.0,216803,197928,546,24.73,2256,773.0
Apricots,2002,28354.0,201199,183211,531,25.0,2257,782.0
Apricots,2003,28253.0,210090,193862,515,24.72,2253,790.0
Apricots,2004,28201.0,230083,204972,438,24.74,2254,799.0
Apricots,2005,28217.0,254342,222668,441,24.58,2251,808.0
Apricots,2006,28227.0,270526,240815,467,25.06,2248,815.0
Apricots,2007,28244.0,282138,252309,342,24.77,2245,822.0
Apricots,2008,28253.0,302855,260116,181,24.61,2246,829.0
Apricots,2009,28263.0,330569,272271,358,25.11,2250,846.0
Apricots,2010,28274.0,351378,287886,501,25.13,2244,846.0
Apricots,2011,28288.0,354671,303931,694,24.67,2245,847.0
Apricots,2012,28298.0,319201,294365,662,24.69,2245,869.0
Apricots,2013,28310.0,306031,293126,570,24.82,2246,871.0
Apricots,2014,28232.0,319767,296618,703,24.73,2246,873.0
Apricots,2015,28253.0,334407,304015,709,24.91,2245,875.0
Apricots,2016,28349.0,324363,292869,732,26.45,2244,877.0
Apricots,2017,28359.0,332386,296765,792,26.29,2244,880.0
Apricots,2018,28367.0,342190,308493,745,25.9,2244,880.0
Apricots,2019,28374.0,362120,299376,771,25.86,2244,880.0
Areca nuts,1990,11995.0,150225,132396,937,24.21,2267,618.0
Areca nuts,1991,10991.0,159101,140809,901,24.28,2269,621.0
Areca nuts,1992,10965.0,151930,147467,884,24.15,2266,623.0
Areca nuts,1993,11311.0,154815,153630,829,24.43,2267,626.0
Areca nuts,1994,11512.0,169545,166375,766,24.46,2266,644.0
Areca nuts,1995,11878.0,173452,171899,765,25.29,2261,663.0
Areca nuts,1996,11588.0,179225,180528,701,24.55,2257,681.0
Areca nuts,1997,11780.0,202349,190783,653,24.1,2262,700.0
Areca nuts,1998,12426.0,209968,198690,614,24.76,2260,718.0
Areca nuts,1999,11071.0,225709,202759,577,24.67,2262,736.0
Areca nuts,2000,11379.0,208778,191103,561,24.6,2262,755.0
Areca nuts,2001,11379.0,216803,197928,546,24.73,2256,773.0
Areca nuts,2002,13793.0,201199,183211,531,25.0,2257,782.0
Areca nuts,2003,11769.0,210090,193862,515,24.72,2253,790.0
Areca nuts,2004,12033.0,230083,204972,438,24.74,2254,799.0
Areca nuts,2005,12427.0,254342,222668,441,24.58,2251,808.0
Areca nuts,2006,12676.0,270526,240815,467,25.06,2248,815.0
Areca nuts,2007,12629.0,282138,252309,342,24.77,2245,822.0
Areca nuts,2008,12312.0,302855,260116,181,24.61,2246,829.0
Areca nuts,2009,12433.0,330569,272271,358,25.11,2250,846.0
Areca nuts,2010,11947.0,351378,287886,501,25.13,2244,846.0
Areca nuts,2011,11947.0,354671,303931,694,24.67,2245,847.0
Areca nuts,2012,14677.0,319201,294365,662,24.69,2245,869.0
Areca nuts,2013,13655.0,306031,293126,570,24.82,2246,871.0
Areca nuts,2014,13761.0,319767,296618,703,24.73,2246,873.0
Areca nuts,2015,16600.0,334407,304015,709,24.91,2245,875.0
Areca nuts,2016,15063.0,324363,292869,732,26.45,2244,877.0
Areca nuts,2017,15890.0,332386,296765,792,26.29,2244,880.0
Areca nuts,2018,16761.0,342190,308493,745,25.9,2244,880.0
Areca nuts,2019,17261.0,362120,299376,771,25.86,2244,880.0
Bananas,1990,195973.0,150225,132396,937,24.21,2267,618.0
Bananas,1991,207425.0,159101,140809,901,24.28,2269,621.0
Bananas,1992,200541.0,151930,147467,884,24.15,2266,623.0
Bananas,1993,229677.0,154815,153630,829,24.43,2267,626.0
Bananas,1994,242313.0,169545,166375,766,24.46,2266,644.0
Bananas,1995,237897.0,173452,171899,765,25.29,2261,663.0
Bananas,1996,235137.0,179225,180528,701,24.55,2257,681.0
Bananas,1997,298434.0,202349,190783,653,24.1,2262,700.0
Bananas,1998,328261.0,209968,198690,614,24.76,2260,718.0
Bananas,1999,343061.0,225709,202759,577,24.67,2262,736.0
Bananas,2000,300986.0,208778,191103,561,24.6,2262,755.0
Bananas,2001,304803.0,216803,197928,546,24.73,2256,773.0
Bananas,2002,279916.0,201199,183211,531,25.0,2257,782.0
Bananas,2003,277910.0,210090,193862,515,24.72,2253,790.0
Bananas,2004,283998.0,230083,204972,438,24.74,2254,799.0
Bananas,2005,331656.0,254342,222668,441,24.58,2251,808.0
Bananas,2006,347531.0,270526,240815,467,25.06,2248,815.0
Bananas,2007,362052.0,282138,252309,342,24.77,2245,822.0
Bananas,2008,369774.0,302855,260116,181,24.61,2246,829.0
Bananas,2009,343626.0,330569,272271,358,25.11,2250,846.0
Bananas,2010,358795.0,351378,287886,501,25.13,2244,846.0
Bananas,2011,357252.0,354671,303931,694,24.67,2245,847.0
Bananas,2012,341611.0,319201,294365,662,24.69,2245,869.0
Bananas,2013,346420.0,306031,293126,570,24.82,2246,871.0
Bananas,2014,370367.0,319767,296618,703,24.73,2246,873.0
Bananas,2015,355487.0,334407,304015,709,24.91,2245,875.0
Bananas,2016,346433.0,324363,292869,732,26.45,2244,877.0
Bananas,2017,354384.0,332386,296765,792,26.29,2244,880.0
Bananas,2018,348507.0,342190,308493,745,25.9,2244,880.0
Bananas,2019,351732.0,362120,299376,771,25.86,2244,880.0
Barley,1990,14998.0,150225,132396,937,24.21,2267,618.0
Barley,1991,16965.0,159101,140809,901,24.28,2269,621.0
Barley,1992,17808.0,151930,147467,884,24.15,2266,623.0
Barley,1993,16518.0,154815,153630,829,24.43,2267,626.0
Barley,1994,16531.0,169545,166375,766,24.46,2266,644.0
Barley,1995,14403.0,173452,171899,765,25.29,2261,663.0
Barley,1996,18325.0,179225,180528,701,24.55,2257,681.0
Barley,1997,19303.0,202349,190783,653,24.1,2262,700.0
Barley,1998,19578.0,209968,198690,614,24.76,2260,718.0
Barley,1999,19397.0,225709,202759,577,24.67,2262,736.0
Barley,2000,19972.0,208778,191103,561,24.6,2262,755.0
Barley,2001,18400.0,216803,197928,546,24.73,2256,773.0
Barley,2002,21600.0,201199,183211,531,25.0,2257,782.0
Barley,2003,20060.0,210090,193862,515,24.72,2253,790.0
Barley,2004,19750.0,230083,204972,438,24.74,2254,799.0
Barley,2005,19580.0,254342,222668,441,24.58,2251,808.0
Barley,2006,19378.0,270526,240815,467,25.06,2248,815.0
Barley,2007,20582.0,282138,252309,342,24.77,2245,822.0
Barley,2008,19914.0,302855,260116,181,24.61,2246,829.0
Barley,2009,23935.0,330569,272271,358,25.11,2250,846.0
Barley,2010,21717.0,351378,287886,501,25.13,2244,846.0
Barley,2011,23574.0,354671,303931,694,24.67,2245,847.0
Barley,2012,25194.0,319201,294365,662,24.69,2245,869.0
Barley,2013,25180.0,306031,293126,570,24.82,2246,871.0
Barley,2014,27171.0,319767,296618,703,24.73,2246,873.0
Barley,2015,22815.0,334407,304015,709,24.91,2245,875.0
Barley,2016,24407.0,324363,292869,732,26.45,2244,877.0
Barley,2017,26628.0,332386,296765,792,26.29,2244,880.0
Barley,2018,26949.0,342190,308493,745,25.9,2244,880.0
Barley,2019,28372.0,362120,299376,771,25.86,2244,880.0
"Bastfibres, other",1990,8911.0,150225,132396,937,24.21,2267,618.0
"Bastfibres, other",1991,9513.0,159101,140809,901,24.28,2269,621.0
"Bastfibres, other",1992,8772.0,151930,147467,884,24.15,2266,623.0
"Bastfibres, other",1993,9052.0,154815,153630,829,24.43,2267,626.0
"Bastfibres, other",1994,9320.0,169545,166375,766,24.46,2266,644.0
"Bastfibres, other",1995,9438.0,173452,171899,765,25.29,2261,663.0
"Bastfibres, other",1996,13921.0,179225,180528,701,24.55,2257,681.0
"Bastfibres, other",1997,10042.0,202349,190783,653,24.1,2262,700.0
"Bastfibres, other",1998,9904.0,209968,198690,614,24.76,2260,718.0
"Bastfibres, other",1999,10778.0,225709,202759,577,24.67,2262,736.0
"Bastfibres, other",2000,10777.0,208778,191103,561,24.6,2262,755.0
"Bastfibres, other",2001,11759.0,216803,197928,546,24.73,2256,773.0
"Bastfibres, other",2002,11315.0,201199,183211,531,25.0,2257,782.0
"Bastfibres, other",2003,10557.0,210090,193862,515,24.72,2253,790.0
"Bastfibres, other",2004,10874.0,230083,204972,438,24.74,2254,799.0
"Bastfibres, other",2005,11082.0,254342,222668,441,24.58,2251,808.0
"Bastfibres, other",2006,11357.0,270526,240815,467,25.06,2248,815.0
"Bastfibres, other",2007,11950.0,282138,252309,342,24.77,2245,822.0
"Bastfibres, other",2008,13200.0,302855,260116,181,24.61,2246,829.0
"Bastfibres, other",2009,10965.0,330569,272271,358,25.11,2250,846.0
"Bastfibres, other",2010,12230.0,351378,287886,501,25.13,2244,846.0
"Bastfibres, other",2011,12714.0,354671,303931,694,24.67,2245,847.0
"Bastfibres, other",2012,12989.0,319201,294365,662,24.69,2245,869.0
"Bastfibres, other",2013,10800.0,306031,293126,570,24.82,2246,871.0
"Bastfibres, other",2014,11767.0,319767,296618,703,24.73,2246,873.0
"Bastfibres, other",2015,12161.0,334407,304015,709,24.91,2245,875.0
"Bastfibres, other",2016,12053.0,324363,292869,732,26.45,2244,877.0
"Bastfibres, other",2017,12105.0,332386,296765,792,26.29,2244,880.0
"Bastfibres, other",2018,12158.0,342190,308493,745,25.9,2244,880.0
"Bastfibres, other",2019,12210.0,362120,299376,771,25.86,2244,880.0
"Beans, dry",1990,4172.0,150225,132396,937,24.21,2267,618.0
"Beans, dry",1991,3645.0,159101,140809,901,24.28,2269,621.0
"Beans, dry",1992,4426.0,151930,147467,884,24.15,2266,623.0
"Beans, dry",1993,3834.0,154815,153630,829,24.43,2267,626.0
"Beans, dry",1994,3657.0,169545,166375,766,24.46,2266,644.0
"Beans, dry",1995,4391.0,173452,171899,765,25.29,2261,663.0
"Beans, dry",1996,4168.0,179225,180528,701,24.55,2257,681.0
"Beans, dry",1997,3511.0,202349,190783,653,24.1,2262,700.0
"Beans, dry",1998,3459.0,209968,198690,614,24.76,2260,718.0
"Beans, dry",1999,4800.0,225709,202759,577,24.67,2262,736.0
"Beans, dry",2000,4871.0,208778,191103,561,24.6,2262,755.0
"Beans, dry",2001,5476.0,216803,197928,546,24.73,2256,773.0
"Beans, dry",2002,3335.0,201199,183211,531,25.0,2257,782.0
"Beans, dry",2003,4562.0,210090,193862,515,24.72,2253,790.0
"Beans, dry",2004,3284.0,230083,204972,438,24.74,2254,799.0
"Beans, dry",2005,3269.0,254342,222668,441,24.58,2251,808.0
"Beans, dry",2006,3825.0,270526,240815,467,25.06,2248,815.0
"Beans, dry",2007,3930.0,282138,252309,342,24.77,2245,822.0
"Beans, dry",2008,3763.0,302855,260116,181,24.61,2246,829.0
"Beans, dry",2009,4050.0,330569,272271,358,25.11,2250,846.0
"Beans, dry",2010,4445.0,351378,287886,501,25.13,2244,846.0
"Beans, dry",2011,3936.0,354671,303931,694,24.67,2245,847.0
"Beans, dry",2012,4132.0,319201,294365,662,24.69,2245,869.0
"Beans, dry",2013,4418.0,306031,293126,570,24.82,2246,871.0
"Beans, dry",2014,4230.0,319767,296618,703,24.73,2246,873.0
"Beans, dry",2015,4140.0,334407,304015,709,24.91,2245,875.0
"Beans, dry",2016,4150.0,324363,292869,732,26.45,2244,877.0
"Beans, dry",2017,4167.0,332386,296765,792,26.29,2244,880.0
"Beans, dry",2018,4176.0,342190,308493,745,25.9,2244,880.0
"Beans, dry",2019,4184.0,362120,299376,771,25.86,2244,880.0
"Beans, green",1990,29561.0,150225,132396,937,24.21,2267,618.0
"Beans, green",1991,26154.0,159101,140809,901,24.28,2269,621.0
"Beans, green",1992,26439.0,151930,147467,884,24.15,2266,623.0
"Beans, green",1993,26736.0,154815,153630,829,24.43,2267,626.0
"Beans, green",1994,26759.0,169545,166375,766,24.46,2266,644.0
"Beans, green",1995,26858.0,173452,171899,765,25.29,2261,663.0
"Beans, green",1996,27027.0,179225,180528,701,24.55,2257,681.0
"Beans, green",1997,27133.0,202349,190783,653,24.1,2262,700.0
"Beans, green",1998,27333.0,209968,198690,614,24.76,2260,718.0
"Beans, green",1999,27382.0,225709,202759,577,24.67,2262,736.0
"Beans, green",2000,27480.0,208778,191103,561,24.6,2262,755.0
"Beans, green",2001,27575.0,216803,197928,546,24.73,2256,773.0
"Beans, green",2002,27667.0,201199,183211,531,25.0,2257,782.0
"Beans, green",2003,27759.0,210090,193862,515,24.72,2253,790.0
"Beans, green",2004,27765.0,230083,204972,438,24.74,2254,799.0
"Beans, green",2005,27800.0,254342,222668,441,24.58,2251,808.0
"Beans, green",2006,27834.0,270526,240815,467,25.06,2248,815.0
"Beans, green",2007,27866.0,282138,252309,342,24.77,2245,822.0
"Beans, green",2008,27898.0,302855,260116,181,24.61,2246,829.0
"Beans, green",2009,27927.0,330569,272271,358,25.11,2250,846.0
"Beans, green",2010,27956.0,351378,287886,501,25.13,2244,846.0
"Beans, green",2011,27983.0,354671,303931,694,24.67,2245,847.0
"Beans, green",2012,28182.0,319201,294365,662,24.69,2245,869.0
"Beans, green",2013,28182.0,306031,293126,570,24.82,2246,871.0
"Beans, green",2014,28188.0,319767,296618,703,24.73,2246,873.0
"Beans, green",2015,28261.0,334407,304015,709,24.91,2245,875.0
"Beans, green",2016,28228.0,324363,292869,732,26.45,2244,877.0
"Beans, green",2017,28262.0,332386,296765,792,26.29,2244,880.0
"Beans, green",2018,28295.0,342190,308493,745,25.9,2244,880.0
"Beans, green",2019,28329.0,362120,299376,771,25.86,2244,880.0
Berries nes,1990,38036.0,150225,132396,937,24.21,2267,618.0
Berries nes,1991,38545.0,159101,140809,901,24.28,2269,621.0
Berries nes,1992,40507.0,151930,147467,884,24.15,2266,623.0
Berries nes,1993,42398.0,154815,153630,829,24.43,2267,626.0
Berries nes,1994,44533.0,169545,166375,766,24.46,2266,644.0
Berries nes,1995,45895.0,173452,171899,765,25.29,2261,663.0
Berries nes,1996,47414.0,179225,180528,701,24.55,2257,681.0
Berries nes,1997,50847.0,202349,190783,653,24.1,2262,700.0
Berries nes,1998,50000.0,209968,198690,614,24.76,2260,718.0
Berries nes,1999,53279.0,225709,202759,577,24.67,2262,736.0
Berries nes,2000,55242.0,208778,191103,561,24.6,2262,755.0
Berries nes,2001,55556.0,216803,197928,546,24.73,2256,773.0
Berries nes,2002,57422.0,201199,183211,531,25.0,2257,782.0
Berries nes,2003,59192.0,210090,193862,515,24.72,2253,790.0
Berries nes,2004,60190.0,230083,204972,438,24.74,2254,799.0
Berries nes,2005,61461.0,254342,222668,441,24.58,2251,808.0
Berries nes,2006,62657.0,270526,240815,467,25.06,2248,815.0
Berries nes,2007,69407.0,282138,252309,342,24.77,2245,822.0
Berries nes,2008,64786.0,302855,260116,181,24.61,2246,829.0
Berries nes,2009,65684.0,330569,272271,358,25.11,2250,846.0
Berries nes,2010,66747.0,351378,287886,501,25.13,2244,846.0
Berries nes,2011,68048.0,354671,303931,694,24.67,2245,847.0
Berries nes,2012,68167.0,319201,294365,662,24.69,2245,869.0
Berries nes,2013,70100.0,306031,293126,570,24.82,2246,871.0
Berries nes,2014,70967.0,319767,296618,703,24.73,2246,873.0
Berries nes,2015,71895.0,334407,304015,709,24.91,2245,875.0
Berries nes,2016,72428.0,324363,292869,732,26.45,2244,877.0
Berries nes,2017,73312.0,332386,296765,792,26.29,2244,880.0
Berries nes,2018,74406.0,342190,308493,745,25.9,2244,880.0
Berries nes,2019,75247.0,362120,299376,771,25.86,2244,880.0
Cabbages and other brassicas,1990,141375.0,150225,132396,937,24.21,2267,618.0
Cabbages and other brassicas,1991,156792.0,159101,140809,901,24.28,2269,621.0
Cabbages and other brassicas,1992,201841.0,151930,147467,884,24.15,2266,623.0
Cabbages and other brassicas,1993,156087.0,154815,153630,829,24.43,2267,626.0
Cabbages and other brassicas,1994,177727.0,169545,166375,766,24.46,2266,644.0
Cabbages and other brassicas,1995,191573.0,173452,171899,765,25.29,2261,663.0
Cabbages and other brassicas,1996,205111.0,179225,180528,701,24.55,2257,681.0
Cabbages and other brassicas,1997,218352.0,202349,190783,653,24.1,2262,700.0
Cabbages and other brassicas,1998,231304.0,209968,198690,614,24.76,2260,718.0
Cabbages and other brassicas,1999,234167.0,225709,202759,577,24.67,2262,736.0
Cabbages and other brassicas,2000,228780.0,208778,191103,561,24.6,2262,755.0
Cabbages and other brassicas,2001,224389.0,216803,197928,546,24.73,2256,773.0
Cabbages and other brassicas,2002,220000.0,201199,183211,531,25.0,2257,782.0
Cabbages and other brassicas,2003,230624.0,210090,193862,515,24.72,2253,790.0
Cabbages and other brassicas,2004,219310.0,230083,204972,438,24.74,2254,799.0
Cabbages and other brassicas,2005,212422.0,254342,222668,441,24.58,2251,808.0
Cabbages and other brassicas,2006,222379.0,270526,240815,467,25.06,2248,815.0
Cabbages and other brassicas,2007,224257.0,282138,252309,342,24.77,2245,822.0
Cabbages and other brassicas,2008,222180.0,302855,260116,181,24.61,2246,829.0
Cabbages and other brassicas,2009,221457.0,330569,272271,358,25.11,2250,846.0
Cabbages and other brassicas,2010,242309.0,351378,287886,501,25.13,2244,846.0
Cabbages and other brassicas,2011,215420.0,354671,303931,694,24.67,2245,847.0
Cabbages and other brassicas,2012,215692.0,319201,294365,662,24.69,2245,869.0
Cabbages and other brassicas,2013,229409.0,306031,293126,570,24.82,2246,871.0
Cabbages and other brassicas,2014,225901.0,319767,296618,703,24.73,2246,873.0
Cabbages and other brassicas,2015,222409.0,334407,304015,709,24.91,2245,875.0
Cabbages and other brassicas,2016,223503.0,324363,292869,732,26.45,2244,877.0
Cabbages and other brassicas,2017,222962.0,332386,296765,792,26.29,2244,880.0
Cabbages and other brassicas,2018,226491.0,342190,308493,745,25.9,2244,880.0
Cabbages and other brassicas,2019,228175.0,362120,299376,771,25.86,2244,880.0
Carrots and turnips,1990,140000.0,150225,132396,937,24.21,2267,618.0
Carrots and turnips,1991,142616.0,159101,140809,901,24.28,2269,621.0
Carrots and turnips,1992,142927.0,151930,147467,884,24.15,2266,623.0
Carrots and turnips,1993,143204.0,154815,153630,829,24.43,2267,626.0
Carrots and turnips,1994,143563.0,169545,166375,766,24.46,2266,644.0
Carrots and turnips,1995,144231.0,173452,171899,765,25.29,2261,663.0
Carrots and turnips,1996,145455.0,179225,180528,701,24.55,2257,681.0
Carrots and turnips,1997,144681.0,202349,190783,653,24.1,2262,700.0
Carrots and turnips,1998,145380.0,209968,198690,614,24.76,2260,718.0
Carrots and turnips,1999,145846.0,225709,202759,577,24.67,2262,736.0
Carrots and turnips,2000,145833.0,208778,191103,561,24.6,2262,755.0
Carrots and turnips,2001,146872.0,216803,197928,546,24.73,2256,773.0
Carrots and turnips,2002,147401.0,201199,183211,531,25.0,2257,782.0
Carrots and turnips,2003,147921.0,210090,193862,515,24.72,2253,790.0
Carrots and turnips,2004,148480.0,230083,204972,438,24.74,2254,799.0
Carrots and turnips,2005,149144.0,254342,222668,441,24.58,2251,808.0
Carrots and turnips,2006,149670.0,270526,240815,467,25.06,2248,815.0
Carrots and turnips,2007,150191.0,282138,252309,342,24.77,2245,822.0
Carrots and turnips,2008,150705.0,302855,260116,181,24.61,2246,829.0
Carrots and turnips,2009,151216.0,330569,272271,358,25.11,2250,846.0
Carrots and turnips,2010,151713.0,351378,287886,501,25.13,2244,846.0
Carrots and turnips,2011,152200.0,354671,303931,694,24.67,2245,847.0
Carrots and turnips,2012,152941.0,319201,294365,662,24.69,2245,869.0
Carrots and turnips,2013,152941.0,306031,293126,570,24.82,2246,871.0
Carrots and turnips,2014,153460.0,319767,296618,703,24.73,2246,873.0
Carrots and turnips,2015,154057.0,334407,304015,709,24.91,2245,875.0
Carrots and turnips,2016,154475.0,324363,292869,732,26.45,2244,877.0
Carrots and turnips,2017,154927.0,332386,296765,792,26.29,2244,880.0
Carrots and turnips,2018,28923.5,342190,308493,745,25.9,2244,880.0
Carrots and turnips,2019,28923.5,362120,299376,771,25.86,2244,880.0
"Cashew nuts, with shell",1990,5380.0,150225,132396,937,24.21,2267,618.0
"Cashew nuts, with shell",1991,5539.0,159101,140809,901,24.28,2269,621.0
"Cashew nuts, with shell",1992,5722.0,151930,147467,884,24.15,2266,623.0
"Cashew nuts, with shell",1993,6250.0,154815,153630,829,24.43,2267,626.0
"Cashew nuts, with shell",1994,6195.0,169545,166375,766,24.46,2266,644.0
"Cashew nuts, with shell",1995,5574.0,173452,171899,765,25.29,2261,663.0
"Cashew nuts, with shell",1996,6580.0,179225,180528,701,24.55,2257,681.0
"Cashew nuts, with shell",1997,6525.0,202349,190783,653,24.1,2262,700.0
"Cashew nuts, with shell",1998,5333.0,209968,198690,614,24.76,2260,718.0
"Cashew nuts, with shell",1999,6516.0,225709,202759,577,24.67,2262,736.0
"Cashew nuts, with shell",2000,7580.0,208778,191103,561,24.6,2262,755.0
"Cashew nuts, with shell",2001,6429.0,216803,197928,546,24.73,2256,773.0
"Cashew nuts, with shell",2002,6267.0,201199,183211,531,25.0,2257,782.0
"Cashew nuts, with shell",2003,6494.0,210090,193862,515,24.72,2253,790.0
"Cashew nuts, with shell",2004,6859.0,230083,204972,438,24.74,2254,799.0
"Cashew nuts, with shell",2005,6634.0,254342,222668,441,24.58,2251,808.0
"Cashew nuts, with shell",2006,6846.0,270526,240815,467,25.06,2248,815.0
"Cashew nuts, with shell",2007,7260.0,282138,252309,342,24.77,2245,822.0
"Cashew nuts, with shell",2008,7661.0,302855,260116,181,24.61,2246,829.0
"Cashew nuts, with shell",2009,7783.0,330569,272271,358,25.11,2250,846.0
"Cashew nuts, with shell",2010,6641.0,351378,287886,501,25.13,2244,846.0
"Cashew nuts, with shell",2011,7077.0,354671,303931,694,24.67,2245,847.0
"Cashew nuts, with shell",2012,7406.0,319201,294365,662,24.69,2245,869.0
"Cashew nuts, with shell",2013,7591.0,306031,293126,570,24.82,2246,871.0
"Cashew nuts, with shell",2014,7448.0,319767,296618,703,24.73,2246,873.0
"Cashew nuts, with shell",2015,7233.0,334407,304015,709,24.91,2245,875.0
"Cashew nuts, with shell",2016,6477.0,324363,292869,732,26.45,2244,877.0
"Cashew nuts, with shell",2017,7618.0,332386,296765,792,26.29,2244,880.0
"Cashew nuts, with shell",2018,7693.0,342190,308493,745,25.9,2244,880.0
"Cashew nuts, with shell",2019,6724.0,362120,299376,771,25.86,2244,880.0
Cassava,1990,205381.0,150225,132396,937,24.21,2267,618.0
Cassava,1991,218925.0,159101,140809,901,24.28,2269,621.0
Cassava,1992,232463.0,151930,147467,884,24.15,2266,623.0
Cassava,1993,230430.0,154815,153630,829,24.43,2267,626.0
Cassava,1994,245277.0,169545,166375,766,24.46,2266,644.0
Cassava,1995,252775.0,173452,171899,765,25.29,2261,663.0
